authors,original_publication_year,original_title,bookImage,bookDesc,bookRating,bookPages,bookGenres,language_code,original_publication_year
Cassandra Clare,2013,Clockwork Princess,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436788488l/18335634._SY475_.jpg,"Danger and betrayal, love and loss, secrets and enchantment are woven together in the breathtaking finale to the #1 New York Times bestselling Infernal Devices Trilogy, prequel to the internationally bestselling Mortal Instruments series.THE INFERNAL DEVICES WILL NEVER STOP COMINGA net of shadows begins to tighten around the Shadowhunters of the London Institute. Mortmain plans to use his Infernal Devices, an army of pitiless automatons, to destroy the Shadowhunters. He needs only one last item to complete his plan: he needs Tessa Gray.Charlotte Branwell, head of the London Institute, is desperate to find Mortmain before he strikes. But when Mortmain abducts Tessa, the boys who lay equal claim to her heart, Jem and Will, will do anything to save her. For though Tessa and Jem are now engaged, Will is as much in love with her as ever.As those who love Tessa rally to rescue her from Mortmain’s clutches, Tessa realizes that the only person who can save her is herself. But can a single girl, even one who can command the power of angels, face down an entire army?Danger and betrayal, secrets and enchantment, and the tangled threads of love and loss intertwine as the Shadowhunters are pushed to the very brink of destruction in the breathtaking conclusion to the Infernal Devices trilogy.",4.55,567 pages,"Fantasy/7,602|Young Adult/5,026|Romance/2,340|Fantasy-Paranormal/1,772|Science Fiction-Steampunk/1,355|Historical-Historical Fiction/1,255|Fantasy-Urban Fantasy/901|Paranormal-Angels/841|Fiction/816|Historical/718",eng,2013
George R.R. Martin,2000,A Song of Ice and Fire,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339340118l/12177850.jpg,"For the first time, all five novels in the epic fantasy series that inspired HBO's ""Game of Thrones ""are together in one boxed set. An immersive entertainment experience unlike any other, A Song of Ice and Fire has earned George R. R. Martin--dubbed ""the American Tolkien"" by ""Time"" magazine--international acclaim and millions of loyal readers. Now here is the entire monumental cycle: A GAME OF THRONESA CLASH OF KINGSA STORM OF SWORDSA FEAST OF CROWSA DANCE WITH DRAGONS Winter is coming. Such is the stern motto of House Stark, the northernmost of the fiefdoms that owe allegiance to King Robert Baratheon in far-off King's Landing. There Eddard Stark of Winterfell rules in Robert's name. There his family dwells in peace and comfort: his proud wife, Catelyn; his sons Robb, Brandon, and Rickon; his daughters Sansa and Arya; and his bastard son, Jon Snow. Far to the north, behind the towering Wall, lie savage Wildings and worse--unnatural things relegated to myth during the centuries-long summer, but proving all too real and all too deadly in the turning of the season.  Yet a more immediate threat lurks to the south, where Jon Arryn, the Hand of the King, has died under mysterious circumstances. Now Robert is riding north to Winterfell, bringing his queen, the lovely but cold Cersei, his son, the cruel, vainglorious Prince Joffrey, and the queen's brothers Jaime and Tyrion of the powerful and wealthy House Lannister--the first a swordsman without equal, the second a dwarf whose stunted stature belies a brilliant mind. All are heading for Winterfell and a fateful encounter that will change the course of kingdoms.  Meanwhile, across the Narrow Sea, Prince Viserys, heir of the fallen House Targaryen, which once ruled all of Westeros, schemes to reclaim the throne with an army of barbarian Dothraki--whose loyalty he will purchase in the only coin left to him: his beautiful yet innocent sister, Daenerys.""",4.55,5216 pages,Fantasy/890|Fiction/268|Science Fiction Fantasy/35|Adventure/24|Novels/21|Fantasy-Dragons/21|Science Fiction/21|Fantasy-Epic Fantasy/19|Fantasy-High Fantasy/17|Epic/16,eng,2000
Patrick Rothfuss,2011,The Wise Man's Fear,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452624392l/1215032.jpg,"“There are three things all wise men fear: the sea in storm, a night with no moon, and the anger of a gentle man.”My name is Kvothe.I have stolen princesses back from sleeping barrow kings. I burned down the town of Trebon. I have spent the night with Felurian and left with both my sanity and my life. I was expelled from the University at a younger age than most people are allowed in. I tread paths by moonlight that others fear to speak of during day. I have talked to Gods, loved women, and written songs that make the minstrels weep.You may have heard of me.So begins the tale of a hero told from his own point of view — a story unequaled in fantasy literature. Now in The Wise Man's Fear, an escalating rivalry with a powerful member of the nobility forces Kvothe to leave the University and seek his fortune abroad. Adrift, penniless, and alone, he travels to Vintas, where he quickly becomes entangled in the politics of courtly society. While attempting to curry favor with a powerful noble, Kvothe uncovers an assassination attempt, comes into conflict with a rival arcanist, and leads a group of mercenaries into the wild, in an attempt to solve the mystery of who (or what) is waylaying travelers on the King's Road.All the while, Kvothe searches for answers, attempting to uncover the truth about the mysterious Amyr, the Chandrian, and the death of his parents. Along the way, Kvothe is put on trial by the legendary Adem mercenaries, is forced to reclaim the honor of the Edema Ruh, and travels into the Fae realm. There he meets Felurian, the faerie woman no man can resist, and who no man has ever survived ... until Kvothe.In The Wise Man's Fear, Kvothe takes his first steps on the path of the hero and learns how difficult life can be when a man becomes a legend in his own time.",4.54,994 pages,"Fantasy/17,645|Fiction/2,222|Fantasy-Epic Fantasy/914|Fantasy-High Fantasy/622|Fantasy-Magic/542|Science Fiction Fantasy/503|Adventure/489|Audiobook/436|Adult/332|Epic/230",eng,2011
Sarah J. Maas,2015,Queen of Shadows,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441230104l/18006496.jpg,"Everyone Celaena Sardothien loves has been taken from her. But she’s at last returned to the empire—for vengeance, to rescue her once-glorious kingdom, and to confront the shadows of her past…She has embraced her identity as Aelin Galathynius, Queen of Terrasen. But before she can reclaim her throne, she must fight.She will fight for her cousin, a warrior prepared to die for her. She will fight for her friend, a young man trapped in an unspeakable prison. And she will fight for her people, enslaved to a brutal king and awaiting their lost queen’s triumphant return.The fourth volume in the New York Times bestselling series continues Celaena’s epic journey and builds to a passionate, agonizing crescendo that might just shatter her world.",4.54,648 pages,"Fantasy/9,939|Young Adult/3,621|Romance/1,686|Fantasy-Magic/1,019|New Adult/832|Young Adult-Young Adult Fantasy/764|Fairies-Fae/752|Fiction/744|Fantasy-High Fantasy/675|Fantasy-Paranormal/426",eng,2015
"Randy Alcorn, Alex Kendrick, Stephen Kendrick",2011,Courageous,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406505682l/10790276.jpg,"Retailers Choice Award winner, 2012From the creators of ""Fireproof"" comes an inspiring new story about everyday heroes who long to be the kinds of dads that make a lifelong impact on their children. As law enforcement officers, Adam Mitchell, Nathan Hayes, and their partners willingly stand up to the worst the world can offer. Yet at the end of the day, they face a challenge that none of them are truly prepared to tackle: fatherhood. While they consistently give their best on the job, good enough seems to be all they can muster as dads. But they're quickly discovering that their standard is missing the mark. They know that God desires to turn the hearts of fathers to their children, but their children are beginning to drift farther and farther away from them. Will they be able to find a way to serve and protect those who are most dear to them? When tragedy hits home, these men are left wrestling with their hopes, their fears, their faith, and their fathering. Can a newfound urgency help these dads draw closer to God . . . and to their children?",4.54,375 pages,Christian Fiction/112|Christian/99|Fiction/78|Inspirational/15|Contemporary/14|Religion-Faith/14|Religion-Christianity/11|Spirituality/7|Parenting/7|Religion/6,,2011
Founding Fathers,1787,The Constitution of the United States of America,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328756752l/89959.jpg,"The complete text of the United States Constitution, including all of the amendments. This inexpesnive pamphlet edition is sure to be prized by Americans of all ages.",4.53,30 pages,History/462|Nonfiction/373|Politics/348|Classics/196|Philosophy/107|Law/85|Reference/84|North American Hi...-American History/69|Historical/50|Politics-Political Science/41,,1787
Sarah J. Maas,2016,Empire of Storms,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463107108l/28260587.jpg,"This is a previously published edition of ISBN 9781619636071. An alternative cover edition for this ISBN can be found here.Kingdoms will collide.The long path to the throne has only just begun for Aelin Galathynius as war looms on the horizon. Loyalties have been broken and bought, friends have been lost and gained, and those who possess magic find themselves at odds with those who don't.With her heart sworn to the warrior-prince by her side, and her fealty pledged to the people she is determined to save, Aelin will delve into the depths of her power to protect those she loves. But as monsters emerge from the horrors of the past, and dark forces become poised to claim her world, the only chance for salvation will lie in a desperate quest that may mark the end of everything Aelin holds dear.In this breathtaking fifth installment of the New York Times bestselling Throne of Glass series, Aelin will have to choose what—and who—to sacrifice if she's to keep the world of Erilea from breaking apart.",4.53,689 pages,"Fantasy/7,996|Young Adult/2,645|Romance/1,619|New Adult/1,148|Fantasy-Magic/811|Fiction/644|Young Adult-Young Adult Fantasy/642|Fairies-Fae/630|Fantasy-High Fantasy/526|Fantasy-Paranormal/376",eng,2016
Diana Gabaldon,2014,Written in My Own Heart's Blood,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365173799l/11710373.jpg,"It is June 1778, and the world seems to be turning upside-down. The British Army is withdrawing from Philadelphia, with George Washington in pursuit, and for the first time, it looks as if the rebels might actually win. But for Claire Fraser and her family, there are even more tumultuous revolutions that have to be accommodated.Her former husband, Jamie, has returned from the dead, demanding to know why in his absence she married his best friend, Lord John Grey. Lord John's son, the ninth Earl of Ellesmere, is no less shocked to discover that his real father is actually the newly resurrected Jamie Fraser, and Jamie's nephew Ian Murray discovers that his new-found cousin has an eye for the woman who has just agreed to marry him.And while Claire is terrified that one of her husbands may be about to murder the other, in the 20th century her descendants face even more desperate turns of events. Her daughter Brianna is trying to protect her son from a vicious criminal with murder on his mind, while her husband Roger has disappeared into the past . . .",4.53,825 pages,"Historical-Historical Fiction/2,265|Romance/980|Fiction/842|Fantasy/764|Science Fiction-Time Travel/669|Historical/542|Romance-Historical Romance/320|Audiobook/184|Adult/137|Science Fiction/111",eng,2014
J.R.R. Tolkien,1955,The Return of the King,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520258755l/18512._SY475_.jpg,"Alternate cover edition here.The Companions of the Ring have become involved in separate adventures as the quest continues. Aragorn, revealed as the hidden heir of the ancient Kings of the West, joined with the Riders of Rohan against the forces of Isengard, and took part in the desperate victory of the Hornburg. Merry and Pippin, captured by Orcs, escaped into Fangorn Forest and there encountered the Ents. Gandalf returned, miraculously, and defeated the evil wizard, Saruman. Meanwhile, Sam and Frodo progressed towards Mordor to destroy the Ring, accompanied by SmEagol--Gollum, still obsessed by his 'precious'. After a battle with the giant spider, Shelob, Sam left his master for dead; but Frodo is still alive--in the hands of the Orcs. And all the time the armies of the Dark Lord are massing. J.R.R. Tolkien's great work of imaginative fiction has been labeled both a heroic romance and a classic fantasy fiction. By turns comic and homely, epic and diabolic, the narrative moves through countless changes of scene and character in an imaginary world which is totally convincing in its detail.",4.53,404 pages,"Fantasy/28,854|Fiction/7,066|Classics/6,838|Adventure/1,414|Science Fiction Fantasy/991|Fantasy-High Fantasy/962|Fantasy-Epic Fantasy/931|Novels/513|Literature/506|Young Adult/495",en-US,1955
Art Spiegelman,1986,The Complete Maus,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327354180l/15195.jpg,"Combined for the first time here are Maus I: A Survivor's Tale and Maus II - the complete story of Vladek Spiegelman and his wife, living and surviving in Hitler's Europe. By addressing the horror of the Holocaust through cartoons, the author captures the everyday reality of fear and is able to explore the guilt, relief and extraordinary sensation of survival - and how the children of survivors are in their own way affected by the trials of their parents. A contemporary classic of immeasurable significance.",4.53,296 pages,"Sequential Art-Graphic Novels/4,970|Sequential Art-Comics/2,626|Nonfiction/1,479|History/1,339|Biography/566|Autobiography-Memoir/505|War/463|Historical/453|World War II-Holocaust/419|Graphic Novels Comics/360",en-GB,1986
Maya Banks,2010,The Darkest Hour,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924432l/49006.jpg,"ThunderClan's darkest hour is upon them, as Tigerstar's quest for power plunges all the Clans into the most terrible danger any cat has ever faced. In order to save his Clan and his friends, Fireheart must uncover the meaning of an ominous proclamation from StarClan:""Four will become two. Lion and tiger will meet in battle, and blood will rule the forest.""The time has come for prophecies to unfold, and for heroes to rise ...",4.53,315 pages,Fantasy/557|Animals/245|Fiction/173|Childrens-Middle Grade/153|Childrens/136|Young Adult/124|Adventure/86|Animals-Cats/72|Animals-Animal Fiction/36|Action/15,eng,2010
George R.R. Martin,2000,A Storm of Swords,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571318786l/62291.jpg,"An alternate cover for this isbn can be found here.Here is the third volume in George R.R. Martin's magnificent cycle of novels that includes A Game of Thrones and A Clash of Kings. Together, this series comprises a genuine masterpiece of modern fantasy, destined to stand as one of the great achievements of imaginative fiction.Of the five contenders for power, one is dead, another in disfavor, and still the wars rage as alliances are made and broken. Joffrey sits on the Iron Throne, the uneasy ruler of the Seven Kingdoms. His most bitter rival, Lord Stannis, stands defeated and disgraced, victim of the sorceress who holds him in her thrall. Young Robb still rules the North from the fortress of Riverrun. Meanwhile, making her way across a blood-drenched continent is the exiled queen, Daenerys, mistress of the only three dragons still left in the world. And as opposing forces manoeuver for the final showdown, an army of barbaric wildlings arrives from the outermost limits of civilization, accompanied by a horde of mythical Others—a supernatural army of the living dead whose animated corpses are unstoppable. As the future of the land hangs in the balance, no one will rest until the Seven Kingdoms have exploded in a veritable storm of swords...",4.53,1177 pages,"Fantasy/27,404|Fiction/5,696|Fantasy-Epic Fantasy/1,235|Science Fiction Fantasy/955|Fantasy-High Fantasy/833|Adult/702|Adventure/636|Fantasy-Dragons/587|Audiobook/547|Epic/507",eng,2000
Patrick Rothfuss,2007,The Name of the Wind,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1610826947l/186074.jpg,"Told in Kvothe's own voice, this is the tale of the magically gifted young man who grows to be the most notorious wizard his world has ever seen. The intimate narrative of his childhood in a troupe of traveling players, his years spent as a near-feral orphan in a crime-ridden city, his daringly brazen yet successful bid to enter a legendary school of magic, and his life as a fugitive after the murder of a king form a gripping coming-of-age story unrivaled in recent literature. A high-action story written with a poet's hand, The Name of the Wind is a masterpiece that will transport readers into the body and mind of a wizard.",4.52,662 pages,"Fantasy/30,516|Fiction/4,765|Fantasy-Epic Fantasy/1,343|Fantasy-High Fantasy/1,158|Fantasy-Magic/996|Science Fiction Fantasy/925|Adult/841|Adventure/781|Audiobook/723|Epic/369",eng,2007
Rick Riordan,2013,The House of Hades,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464201430l/12127810._SY475_.jpg,"Hazel stands at a crossroads. She and the remaining crew of the Argo II could return home with the Athena Parthenos statue and try to stop Camp Half-Blood and Camp Jupiter from going to war. Or they could continue their quest to find the House of Hades, where they might be able to open the Doors of Death, rescue their friends Percy and Annabeth from Tartarus, and prevent monsters from being reincarnated in the mortal world. Whichever road they decide to take, they have to hurry, because time is running out. Gaea, the bloodthirsty Earth Mother, has set the date of August 1 for her rise to power.Annabeth and Percy are overwhelmed. How will the two of them make it through Tartarus? Starving, thirsty, and in pain, they are barely able to stumble on in the dark and poisonous landscape that holds new horrors at every turn. They have no way of locating the Doors of Death. Even if they did, a legion of Gaea's strongest monsters guards the Doors on the Tartarus side. Annabeth and Percy can't exactly launch a frontal assault.Despite the terrible odds, Hazel, Annabeth, Percy, and the other demigods of the prophecy know that there is only one choice: to attempt the impossible. Not just for themselves, but for everyone they love. Even though love can be the riskiest choice of all.Join the demigods as they face their biggest challenges yet in The House of Hades, the hair-raising penultimate book in the best-selling Heroes of Olympus series.",4.52,597 pages,"Fantasy/6,470|Young Adult/2,777|Fantasy-Mythology/2,744|Childrens-Middle Grade/1,098|Fiction/1,014|Adventure/821|Mythology-Greek Mythology/398|Childrens/381|Fantasy-Urban Fantasy/362|Romance/347",eng,2013
Angie Thomas,2017,The Hate U Give,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476284759l/32075671._SY475_.jpg,"An alternate cover edition of ISBN 9780062498533 can be found here.Sixteen-year-old Starr Carter moves between two worlds: the poor neighborhood where she lives and the fancy suburban prep school she attends. The uneasy balance between these worlds is shattered when Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Khalil was unarmed.Soon afterward, his death is a national headline. Some are calling him a thug, maybe even a drug dealer and a gangbanger. Protesters are taking to the streets in Khalil’s name. Some cops and the local drug lord try to intimidate Starr and her family. What everyone wants to know is: what really went down that night? And the only person alive who can answer that is Starr.But what Starr does—or does not—say could upend her community. It could also endanger her life.Inspired by the Black Lives Matter movement, this is a powerful and gripping YA novel about one girl's struggle for justice.",4.51,444 pages,"Young Adult/9,511|Fiction/6,034|Contemporary/5,026|Audiobook/1,593|Realistic Fiction/1,377|Race/957|Social Movements-Social Justice/596|Young Adult-Teen/527|Young Adult-Young Adult Contemporary/486|Cultural-African American/447",eng,2017
"Chris Colfer, Brandon Dorman",2014,A Grimm Warning,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391709728l/20706320.jpg,"The Brothers Grimm have a warning for the Land of Stories.Connor Bailey thinks his fairy-tale adventures are behind him - until he discovers a mysterious clue left by the famous Brothers Grimm. With help from his classmate Bree and the outlandish Mother Goose, Conner sets off on a mission across Europe to crack a two-hundred-year-old code.Meanwhile, Alex Bailey is training to become the next Fairy Godmother... but her attempts at granting wishes never go as planned. Will she ever be truly ready to lead the Fairy Council?When all signs point to disaster for the Land of Stories, Connor and Alex must join forces with their friends and enemies to save the day. But nothing can prepare them for the coming battle... or for the secret that will change the twins' lives forever.The third book in the bestselling Land of Stories series puts the twins to the test as they bring two worlds together!",4.51,448 pages,Fantasy/697|Childrens-Middle Grade/253|Fantasy-Fairy Tales/103|Childrens/96|Young Adult/95|Fiction/94|Adventure/83|Fantasy-Magic/67|Retellings/50|Audiobook/49,eng,2014
"James     Baldwin, Kıvanç Güney",1963,The Fire Next Time,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562890148l/464260._SY475_.jpg,"A national bestseller when it first appeared in 1963, The Fire Next Time galvanized the nation and gave passionate voice to the emerging civil rights movement. At once a powerful evocation of James Baldwin’s early life in Harlem and a disturbing examination of the consequences of racial injustice, the book is an intensely personal and provocative document. It consists of two “letters,” written on the occasion of the centennial of the Emancipation Proclamation, that exhort Americans, both black and white, to attack the terrible legacy of racism. Described by The New York Times Book Review as “sermon, ultimatum, confession, deposition, testament, and chronicle…all presented in searing, brilliant prose,” The Fire Next Time stands as a classic of our literature.",4.51,106 pages,"Nonfiction/2,348|Writing-Essays/895|Race/867|Classics/786|History/592|Politics/431|Social Movements-Social Justice/352|Race-Anti Racist/303|Autobiography-Memoir/295|Cultural-African American/288",eng,1963
"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265l/2.jpg,"There is a door at the end of a silent corridor. And it’s haunting Harry Pottter’s dreams. Why else would he be waking in the middle of the night, screaming in terror?Harry has a lot on his mind for this, his fifth year at Hogwarts: a Defense Against the Dark Arts teacher with a personality like poisoned honey; a big surprise on the Gryffindor Quidditch team; and the looming terror of the Ordinary Wizarding Level exams. But all these things pale next to the growing threat of He-Who-Must-Not-Be-Named - a threat that neither the magical government nor the authorities at Hogwarts can stop.As the grasp of darkness tightens, Harry must discover the true depth and strength of his friends, the importance of boundless loyalty, and the shocking price of unbearable sacrifice.His fate depends on them all.",4.5,870 pages,"Fantasy/1,797|Young Adult/15,961|Fiction/14,157|Fantasy-Magic/4,013|Childrens/2,983|Adventure/2,117|Audiobook/1,836|Childrens-Middle Grade/1,800|Classics/1,396|Science Fiction Fantasy/1,308",eng,2003
"Robert Jordan, Brandon Sanderson",2012,A Memory of Light,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336055749l/7743175.jpg,"The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow.When Robert Jordan died in 2007, all feared that these concluding scenes would never be written. But working from notes and partials left by Jordan, established fantasy writer Brandon Sanderson stepped in to complete the masterwork. With The Gathering Storm (Book 12) and Towers of Midnight (Book 13) behind him, Sanderson now re-creates the vision that Robert Jordan left behind.Edited by Jordan's widow, who edited all of Jordan's books, A Memory of Light will delight, enthrall, and deeply satisfy all of Jordan's legions of readers.The Wheel of Time turns, and Ages come and pass.What was, what will be, and what is,may yet fall under the Shadow.Let the Dragon ride again on the winds of time.",4.5,912 pages,"Fantasy/5,331|Fiction/591|Fantasy-Epic Fantasy/485|Fantasy-High Fantasy/215|Science Fiction Fantasy/155|Adventure/131|Young Adult/125|Epic/116|Childrens/93|Audiobook/87",eng,2012
J.R.R. Tolkien,1955,The Lord of the Rings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566425108l/33.jpg,"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind themIn ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, the Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell by chance into the hands of the hobbit Bilbo Baggins.From Sauron's fastness in the Dark Tower of Mordor, his power spread far and wide. Sauron gathered all the Great Rings to him, but always he searched for the One Ring that would complete his dominion.When Bilbo reached his eleventy-first birthday he disappeared, bequeathing to his young cousin Frodo the Ruling Ring and a perilous quest: to journey across Middle-earth, deep into the shadow of the Dark Lord, and destroy the Ring by casting it into the Cracks of Doom.The Lord of the Rings tells of the great quest undertaken by Frodo and the Fellowship of the Ring: Gandalf the Wizard; the hobbits Merry, Pippin, and Sam; Gimli the Dwarf; Legolas the Elf; Boromir of Gondor; and a tall, mysterious stranger called Strider.",4.5,1216 pages,"Fantasy/17,383|Classics/5,194|Fiction/5,159|Adventure/749|Science Fiction Fantasy/646|Fantasy-Epic Fantasy/463|Literature/433|Young Adult/429|Fantasy-High Fantasy/425|Novels/405",eng,1955
"Rick Riordan, Tk",2009,Percy Jackson and the Olympians,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388181482l/3165162.jpg,"Humans and half-bloods agree—Percy Jackson and the Olympians is a series fit for heroes! Relive the adventure from the beginning with this boxed set of the first three books with glorious new cover art by John Rocco.
The Lightning Thief
Percy Jackson is a good kid, but he can't seem to focus on his schoolwork or control his temper. When his mom tells him the truth about where he came from, she takes him to the one place he'll be safe—Camp Half-Blood, a summer camp for demigods (on Long Island). There, Percy learns that the father he never knew is actually Poseidon, God of the Sea. Soon Percy finds himself caught up in a mystery that could lead to disastrous consequences. Together with his friends—a satyr and another the demigod daughter of Athena—Percy sets out on a quest to reach the gates of the Underworld (located in a recording studio in Hollywood) and prevent a catastrophic war between the gods.
The Sea of Monsters
After a summer spent trying to prevent a catastrophic war among the Greek gods, Percy Jackson finds his seventh-grade school year unnervingly calm. But things don't stay quiet for long. Percy soon discovers there is trouble at Camp Half-Blood: the magical borders which protect Half-Blood Hill have been poisoned by a mysterious enemy, and the only safe haven for demigods is on the verge of being overrun by mythological monsters. To save the camp, Percy needs the help of his best friend, Grover, who has been taken prisoner by the Cyclops Polyphemus on an island somewhere in the Sea of Monsters—the dangerous waters Greek heroes have sailed for millennia—only today, the Sea of Monsters goes by a new name: the Bermuda Triangle. Now Percy and his friends must retrieve the Golden Fleece from the Island of the Cyclops by the end of the summer or Camp Half-Blood will be destroyed. But first, Percy will learn a stunning new secret about his family—one that makes him question whether being claimed as Poseidon's son is an honor or simply a cruel joke…
The Titan's Curse
When Percy Jackson receives a distress call from his friend Grover, he immediately prepares for battle. He knows he'll need his powerful demigod allies, Annabeth and Thalia, at his side; his trusty bronze sword Riptide; and…a ride from his mom. The demigods race to the rescue, to find that Grover has made an important discovery: two new powerful half-bloods whose parentage is unknown. But that's not all that awaits them. The Titan lord, Kronos, has set up his most devious trap yet, and the young heroes have unwittingly fallen prey. Hilarious and action-packed, this third adventure in the series finds Percy faced with his most dangerous challenge so far: the chilling prophecy of the Titan's curse.",4.5,1032 pages,Fantasy/226|Young Adult/93|Fantasy-Mythology/63|Adventure/42|Fiction/40|Mythology-Greek Mythology/34|Fantasy-Magic/18|Fantasy-Urban Fantasy/14|Childrens/12|Fantasy-Supernatural/11,,2009
Brian Sibley,2010,Harry Potter: Film Wizardry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464452934l/7952502._SX318_.jpg,"Harry Potter: Film Wizardry gives readers a front row seat to the magical journey that brought J.K. Rowling's wizarding world to the big screen. Step off Platform Nine and Three Quarters and into the hidden world behind the scenes of the Harry Potter film series. Brian Sibley is the author of other bestselling behind-the-screen books, like The Lord of the Rings: The Making of the Movie Trilogy and The Land of Narnia. The book includes Producer's Diaries from the Harry Potter films' executive producer David Heyman.",4.5,160 pages,Nonfiction/284|Fantasy-Magic/24|Reference/21|Culture-Film/17|Art/16|Childrens/11|Media Tie In/7|Pop Culture-Fandom/7|Fantasy-Urban Fantasy/6|Literature-21st Century/5,eng,2010
Rick Riordan,2009,The Last Olympian,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327924597l/4502507.jpg,"All year the half-bloods have been preparing for battle against the Titans, knowing the odds of victory are grim. Kronos's army is stronger than ever, and with every god and half-blood he recruits, the evil Titan's power only grows.While the Olympians struggle to contain the rampaging monster Typhon, Kronos begins his advance on New York City, where Mount Olympus stands virtually unguarded. Now it's up to Percy Jackson and an army of young demigods to stop the Lord of Time. In this momentous final book in the New York Times best-selling series, the long-awaited prophecy surrounding Percy's sixteenth birthday unfolds. And as the battle for Western civilization rages on the streets of Manhattan, Percy faces a terrifying suspicion that he may be fighting against his own fate.",4.5,11 pages,"Fantasy/13,141|Young Adult/5,443|Fantasy-Mythology/4,332|Fiction/2,298|Childrens-Middle Grade/2,136|Adventure/1,556|Childrens/832|Mythology-Greek Mythology/780|Fantasy-Urban Fantasy/731|Fantasy-Magic/471",eng,2009
Stephen E. Robinson,1992,Believing Christ: The Parable of the Bicycle and Other Good News,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387655499l/434764.jpg,"Author Stephen Robinson illustrates the power of the Savior as he uses analogies and parables, such as his own bicycle story, and scriptures and personal experiences in this moving, best-selling book. “Mortals have finite liabilities,” he explains, “and Jesus has unlimited assets.” By merging the two, exaltation can come. As long as we progress in some degree, the Lord will be pleased and will bless us. We must not only believe in Christ but also believe him — believe that he has the power to exalt us, that he can do what he claims. People will better understand the doctrines of mercy, justification, and salvation by grace after reading this book.",4.5,125 pages,Religion/295|Christianity-Lds/170|Nonfiction/132|Religion-Church/84|Spirituality/44|Inspirational/35|Christian/25|Lds-Lds Non Fiction/18|Self Help/15|Religion-Faith/14,eng,1992
